bill_number,bill_url,title,committees,latest_action,status,sponsor_name,party,state,district,cosponsors,introduced_date
H.R.4695,https://www.congress.gov/bill/119th-congress/house-bill/4695?s=1&r=146,Facial Recognition Act of 2025,"Committees: House - Judiciary; Science, Space, and Technology","Latest Action: House - 07/23/2025 Referred to the Committee on the Judiciary, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Lieu, Ted",D,CA,36,5,07/23/2025
H.R.4649,https://www.congress.gov/bill/119th-congress/house-bill/4649?s=1&r=147,Smart Cities and Communities Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology; Education and Workforce; Foreign Affairs","Latest Action: House - 07/23/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Science, Space, and Technology , Education and Workforce, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"DelBene, Suzan K.",D,WA,1,1,07/23/2025
H.R.4563,https://www.congress.gov/bill/119th-congress/house-bill/4563?s=1&r=148,Fixing Gaps in Hurricane Preparedness Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/21/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Frost, Maxwell",D,FL,10,1,07/21/2025
H.R.4520,https://www.congress.gov/bill/119th-congress/house-bill/4520?s=1&r=149,SBIR/STTR Application Assistance Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 07/17/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Morrison, Kelly",D,MN,3,0,07/17/2025
H.R.4512,https://www.congress.gov/bill/119th-congress/house-bill/4512?s=1&r=150,TRANS MICE Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Mace, Nancy",R,SC,1,6,07/17/2025
H.R.4496,https://www.congress.gov/bill/119th-congress/house-bill/4496?s=1&r=151,Restore and Modernize Our National Laboratories Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foster, Bill",D,IL,11,3,07/17/2025
H.R.4482,https://www.congress.gov/bill/119th-congress/house-bill/4482?s=1&r=152,Stop NOAA Closures Act,"Committees: House - Natural Resources; Science, Space, and Technology; Transportation and Infrastructure","Latest Action: House - 07/18/2025 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. ( All Actions )",Introduced,"Amo, Gabe",D,RI,1,83,07/17/2025
H.R.4416,https://www.congress.gov/bill/119th-congress/house-bill/4416?s=1&r=153,"To establish in the National Oceanic and Atmospheric Administration a program to improve precipitation forecasts, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 07/15/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Ross, Deborah K.",D,NC,2,1,07/15/2025
H.R.4370,https://www.congress.gov/bill/119th-congress/house-bill/4370?s=1&r=154,SAMS Act of 2025,"Committees: House - Natural Resources; Science, Space, and Technology; Foreign Affairs; Transportation and Infrastructure; Armed Services; Energy and Commerce; Agriculture; Ways and Means; Financial Services; Oversight and Government Reform; Small Business","Latest Action: House - 07/14/2025 Referred to the Committee on Natural Resources, and in addition to the Committees on Science, Space, and Technology , Foreign Affairs, Transportation and Infrastructure, Armed Services, Energy and Commerce, Agriculture, Ways and Means, Financial Services, Oversight... ( All Actions )",Introduced,"Palmer, Gary J.",R,AL,6,48,07/14/2025
H.R.4360,https://www.congress.gov/bill/119th-congress/house-bill/4360?s=1&r=155,Frank Wolf Space Security Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/10/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Webster, Daniel",R,FL,11,0,07/10/2025
H.R.4350,https://www.congress.gov/bill/119th-congress/house-bill/4350?s=1&r=156,Unearth America’s Future Act,"Committees: House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Science, Space, and Technology","Latest Action: House - 07/10/2025 Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, Natural Resources, Education and Workforce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for... ( All Actions )",Introduced,"Stevens, Haley M.",D,MI,11,3,07/10/2025
H.R.4341,https://www.congress.gov/bill/119th-congress/house-bill/4341?s=1&r=157,International Maritime Pollution Accountability Act of 2025,"Committees: House - Energy and Commerce; Transportation and Infrastructure; Science, Space, and Technology; Natural Resources; Ways and Means",Latest Action: House - 12/01/2025 Referred to the Subcommittee on Coast Guard and Maritime Transportation. ( All Actions ),Introduced,"Matsui, Doris O.",D,CA,7,1,07/10/2025
H.R.4339,https://www.congress.gov/bill/119th-congress/house-bill/4339?s=1&r=158,Renewable Energy for U.S. Territories Act,"Committees: House - Agriculture; Science, Space, and Technology; Energy and Commerce","Latest Action: House - 07/10/2025 Referred to the Committee on Agriculture, and in addition to the Committees on Science, Space, and Technology , and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Lieu, Ted",D,CA,36,3,07/10/2025
H.R.4338,https://www.congress.gov/bill/119th-congress/house-bill/4338?s=1&r=159,Weather-Safe Energy Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/10/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Leger Fernandez, Teresa",D,NM,3,6,07/10/2025
H.R.4302,https://www.congress.gov/bill/119th-congress/house-bill/4302?s=1&r=160,Improving Atmospheric River Forecasts Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/07/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,5,07/07/2025
H.R.4263,https://www.congress.gov/bill/119th-congress/house-bill/4263?s=1&r=161,123 GO Act,"Committees: House - Foreign Affairs; Armed Services; Energy and Commerce; Financial Services; Science, Space, and Technology","Latest Action: House - 06/30/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committees on Armed Services, Energy and Commerce, Financial Services, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration... ( All Actions )",Introduced,"Self, Keith",R,TX,3,4,06/30/2025
H.R.4239,https://www.congress.gov/bill/119th-congress/house-bill/4239?s=1&r=162,Rural Weather Monitoring Systems Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/27/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Moran, Nathaniel",R,TX,1,5,06/27/2025
H.R.4172,https://www.congress.gov/bill/119th-congress/house-bill/4172?s=1&r=163,OCED Elimination Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/26/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Gill, Brandon",R,TX,26,9,06/26/2025
H.R.4141,https://www.congress.gov/bill/119th-congress/house-bill/4141?s=1&r=164,Advanced Weather Model Computing Development Act,"Committees: House - Natural Resources; Science, Space, and Technology","Latest Action: House - 06/25/2025 Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Miller, Max L.",R,OH,7,4,06/25/2025
H.R.4075,https://www.congress.gov/bill/119th-congress/house-bill/4075?s=1&r=165,Fire Weather Development Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/23/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Crank, Jeff",R,CO,5,7,06/23/2025
H.R.4073,https://www.congress.gov/bill/119th-congress/house-bill/4073?s=1&r=166,"Tsunami Warning, Research, and Education Act of 2025","Committees: House - Science, Space, and Technology; Transportation and Infrastructure","Latest Action: House - 06/24/2025 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. ( All Actions )",Introduced,"Bonamici, Suzanne",D,OR,1,3,06/23/2025
H.R.4065,https://www.congress.gov/bill/119th-congress/house-bill/4065?s=1&r=167,Bring the Space Shuttle Home Act,"Committees: House - Science, Space, and Technology; House Administration","Latest Action: House - 06/20/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ( All Actions )",Introduced,"Weber, Randy K. Sr.",R,TX,14,2,06/20/2025
H.R.4048,https://www.congress.gov/bill/119th-congress/house-bill/4048?s=1&r=168,STEM Pathways for the Future Act,"Committees: House - Science, Space, and Technology; Education and Workforce","Latest Action: House - 06/17/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ( All Actions )",Introduced,"Rivas, Luz M.",D,CA,29,8,06/17/2025
H.R.4047,https://www.congress.gov/bill/119th-congress/house-bill/4047?s=1&r=169,Coastal Communities Ocean Acidification Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Pingree, Chellie",D,ME,1,15,06/17/2025
H.R.4038,https://www.congress.gov/bill/119th-congress/house-bill/4038?s=1&r=170,Wildfire Response and Preparedness Act of 2025,"Committees: House - Natural Resources; Agriculture; Transportation and Infrastructure; Science, Space, and Technology",Latest Action: House - 01/14/2026 Subcommittee Hearings Held ( All Actions ),Introduced,"Kim, Young",R,CA,40,2,06/17/2025
H.R.3953,https://www.congress.gov/bill/119th-congress/house-bill/3953?s=1&r=171,SBIR/STTR Website Improvement Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 06/12/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Conaway, Herbert C.",D,NJ,3,1,06/12/2025
H.R.3924,https://www.congress.gov/bill/119th-congress/house-bill/3924?s=1&r=172,Wildfire Risk Evaluation Act,"Committees: House - Natural Resources; Agriculture; Science, Space, and Technology; Transportation and Infrastructure",Latest Action: House - 05/14/2026 Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent. ( All Actions ),Introduced,"Neguse, Joe",D,CO,2,2,06/11/2025
H.R.3923,https://www.congress.gov/bill/119th-congress/house-bill/3923?s=1&r=173,Wildfire Coordination Act,"Committees: House - Natural Resources; Science, Space, and Technology","Latest Action: House - 06/11/2025 Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Neguse, Joe",D,CO,2,3,06/11/2025
H.R.3851,https://www.congress.gov/bill/119th-congress/house-bill/3851?s=1&r=174,SBIR/STTR Pilot Extension Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 06/09/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Olszewski, Johnny",D,MD,2,0,06/09/2025
H.R.3838,https://www.congress.gov/bill/119th-congress/house-bill/3838?s=1&r=175,Streamlining Procurement for Effective Execution and Delivery and National Defense Authorization Act for Fiscal Year 2026,Committees: House - Armed Services,Latest Action: Senate - 09/30/2025 Received in the Senate. ( All Actions ),Passed House,"Rogers, Mike D.",R,AL,3,1,06/09/2025
H.R.3816,https://www.congress.gov/bill/119th-congress/house-bill/3816?s=1&r=176,Weather Act Reauthorization Act of 2025,"Committees: House - Science, Space, and Technology; Natural Resources; Energy and Commerce; Foreign Affairs","Latest Action: House - 06/06/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Natural Resources, Energy and Commerce, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Lucas, Frank D.",R,OK,3,17,06/06/2025
H.R.3809,https://www.congress.gov/bill/119th-congress/house-bill/3809?s=1&r=177,Weather Workforce Improvement Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/06/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Flood, Mike",R,NE,1,8,06/06/2025
H.R.3788,https://www.congress.gov/bill/119th-congress/house-bill/3788?s=1&r=178,Support for Quantum Supply Chains Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/05/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Sykes, Emilia Strong",D,OH,13,3,06/05/2025
H.R.3771,https://www.congress.gov/bill/119th-congress/house-bill/3771?s=1&r=179,Protecting Coasts and Cities from Severe Weather Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/05/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Kean, Thomas H.",R,NJ,7,1,06/05/2025
H.R.3755,https://www.congress.gov/bill/119th-congress/house-bill/3755?s=1&r=180,Safe Stay Act,"Committees: House - Science, Space, and Technology; Energy and Commerce","Latest Action: House - 06/05/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Craig, Angie",D,MN,2,2,06/05/2025
H.R.3744,https://www.congress.gov/bill/119th-congress/house-bill/3744?s=1&r=181,Research Integrity and Foreign Influence Prevention Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/05/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Webster, Daniel",R,FL,11,4,06/05/2025
H.R.3742,https://www.congress.gov/bill/119th-congress/house-bill/3742?s=1&r=182,Offshore Energy Modernization Act of 2025,"Committees: House - Natural Resources; Energy and Commerce; Science, Space, and Technology","Latest Action: House - 06/04/2025 Referred to the Committee on Natural Resources, and in addition to the Committees on Energy and Commerce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ( All Actions )",Introduced,"Tonko, Paul",D,NY,20,0,06/04/2025
H.R.3730,https://www.congress.gov/bill/119th-congress/house-bill/3730?s=1&r=183,FARE Act,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 06/05/2025 Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials. ( All Actions )",Introduced,"Mullin, Kevin",D,CA,15,0,06/04/2025
H.R.3707,https://www.congress.gov/bill/119th-congress/house-bill/3707?s=1&r=184,NSF and USDA Interagency Research Act,"Committees: House - Science, Space, and Technology; Agriculture","Latest Action: House - 06/04/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Baird, James R.",R,IN,4,4,06/04/2025
H.R.3706,https://www.congress.gov/bill/119th-congress/house-bill/3706?s=1&r=185,SUSHI Act,"Committees: House - Natural Resources; Science, Space, and Technology",Latest Action: House - 02/11/2026 Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent. ( All Actions ),Introduced,"Babin, Brian",R,TX,36,2,06/04/2025
H.R.3705,https://www.congress.gov/bill/119th-congress/house-bill/3705?s=1&r=186,Fog Observations and Geographic Forecasting Act,"Committees: House - Science, Space, and Technology",Latest Action: House - 06/11/2025 Ordered to be Reported by the Yeas and Nays: 35 - 0. ( All Actions ),Introduced,"Babin, Brian",R,TX,36,3,06/04/2025
H.R.3704,https://www.congress.gov/bill/119th-congress/house-bill/3704?s=1&r=187,Coordinated Federal Response to Extreme Heat Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 06/04/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Ansari, Yassamin",D,AZ,3,27,06/04/2025
H.R.3679,https://www.congress.gov/bill/119th-congress/house-bill/3679?s=1&r=188,Small Business Artificial Intelligence Advancement Act,"Committees: House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Latest Action: Senate - 02/24/2026 Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation. ( All Actions )",Passed House,"Collins, Mike",R,GA,10,4,06/03/2025
H.R.3677,https://www.congress.gov/bill/119th-congress/house-bill/3677?s=1&r=189,Executive Order 14292 Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 06/03/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Burchett, Tim",R,TN,2,2,06/03/2025
H.R.3667,https://www.congress.gov/bill/119th-congress/house-bill/3667?s=1&r=190,Strengthening American Nuclear Energy Act,"Committees: House - Energy and Commerce; Science, Space, and Technology; Armed Services; Foreign Affairs; Financial Services; Education and Workforce","Latest Action: House - 06/02/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Science, Space, and Technology , Armed Services, Foreign Affairs, Financial Services, and Education and Workforce, for a period to be subsequently determined by the Speaker, in... ( All Actions )",Introduced,"Donalds, Byron",R,FL,19,2,06/02/2025
H.R.3626,https://www.congress.gov/bill/119th-congress/house-bill/3626?s=1&r=191,International Nuclear Energy Act of 2025,"Committees: House - Foreign Affairs; Energy and Commerce; Science, Space, and Technology; Ways and Means","Latest Action: House - 05/29/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, Science, Space, and Technology , and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions... ( All Actions )",Introduced,"Donalds, Byron",R,FL,19,1,05/29/2025
H.R.3597,https://www.congress.gov/bill/119th-congress/house-bill/3597?s=1&r=192,Protecting Circuit Boards and Substrates Act,"Committees: House - Ways and Means; Energy and Commerce; Science, Space, and Technology","Latest Action: House - 05/23/2025 Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ( All Actions )",Introduced,"Moore, Blake D.",R,UT,1,22,05/23/2025
H.R.3370,https://www.congress.gov/bill/119th-congress/house-bill/3370?s=1&r=193,PROTECT Firefighters Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 02/11/2026 ASSUMING FIRST SPONSORSHIP - Ms. Houlahan asked unanimous consent that she may hereafter be considered as the first sponsor of H.R. 3370 , a bill originally introduced by Representative Sherrill, for the purpose of adding cosponsors and requesting reprintings... ( All Actions )",Introduced,"Sherrill, Mikie",D,NJ,11,2,05/13/2025
H.R.3346,https://www.congress.gov/bill/119th-congress/house-bill/3346?s=1&r=194,Sovereign State Environmental Quality Assurance Act,"Committees: House - Energy and Commerce; Agriculture; Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 05/13/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Agriculture, Transportation and Infrastructure, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of... ( All Actions )",Introduced,"Higgins, Clay",R,LA,3,0,05/13/2025
H.R.3338,https://www.congress.gov/bill/119th-congress/house-bill/3338?s=1&r=195,MARKET CHOICE Act,"Committees: House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Transportation and Infrastructure; Science, Space, and Technology; Agriculture",Latest Action: House - 05/13/2025 Referred to the Subcommittee on Highways and Transit. ( All Actions ),Introduced,"Fitzpatrick, Brian K.",R,PA,1,1,05/13/2025
H.R.3259,https://www.congress.gov/bill/119th-congress/house-bill/3259?s=1&r=196,Post Quantum Cybersecurity Standards Act,"Committees: House - Science, Space, and Technology",Latest Action: House - 06/11/2025 Ordered to be Reported by the Yeas and Nays: 35 - 0. ( All Actions ),Introduced,"Stevens, Haley M.",D,MI,11,3,05/07/2025
H.R.3239,https://www.congress.gov/bill/119th-congress/house-bill/3239?s=1&r=197,Research Advancing to Market Production for Innovators Act,"Committees: House - Small Business; Science, Space, and Technology; Judiciary","Latest Action: House - 05/07/2025 Referred to the Committee on Small Business, and in addition to the Committees on Science, Space, and Technology , and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Houlahan, Chrissy",D,PA,6,2,05/07/2025
H.R.3220,https://www.congress.gov/bill/119th-congress/house-bill/3220?s=1&r=198,Quantum Sandbox for Near-Term Applications Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/06/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,10,05/06/2025
H.R.3210,https://www.congress.gov/bill/119th-congress/house-bill/3210?s=1&r=199,Artificial Intelligence Literacy and Inclusion Act,"Committees: House - Science, Space, and Technology; Education and Workforce; Small Business; Energy and Commerce","Latest Action: House - 05/06/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Education and Workforce, Small Business, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Espaillat, Adriano",D,NY,13,4,05/06/2025
H.R.3184,https://www.congress.gov/bill/119th-congress/house-bill/3184?s=1&r=200,PFAS Alternatives Act,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure",Latest Action: House - 05/06/2025 Referred to the Subcommittee on Water Resources and Environment. ( All Actions ),Introduced,"Dingell, Debbie",D,MI,6,126,05/05/2025
